CATH FunFam ID,CATH Family,Functional Family
2.40.10.10.FF36247,2.40.10.10,FF36247
1.10.10.440.FF292,1.10.10.440,FF292
3.90.110.10.FF731,3.90.110.10,FF731
1.10.357.10.FF35236,1.10.357.10,FF35236
1.10.238.10.FF22455,1.10.238.10,FF22455
2.60.40.1090.FF2120,2.60.40.1090,FF2120
3.30.70.1230.FF5247,3.30.70.1230,FF5247
3.30.450.20.FF87765,3.30.450.20,FF87765
3.40.190.10.FF202275,3.40.190.10,FF202275
1.10.565.10.FF4332,1.10.565.10,FF4332
3.90.70.10.FF13591,3.90.70.10,FF13591
3.40.50.2300.FF27281,3.40.50.2300,FF27281
3.30.160.70.FF2056,3.30.160.70,FF2056
3.30.559.10.FF14385,3.30.559.10,FF14385
3.40.20.10.FF4407,3.40.20.10,FF4407
2.102.10.10.FF1885,2.102.10.10,FF1885
2.130.10.30.FF559,2.130.10.30,FF559
3.40.30.10.FF79919,3.40.30.10,FF79919
3.30.565.10.FF19220,3.30.565.10,FF19220
3.30.1330.90.FF566,3.30.1330.90,FF566
3.40.120.10.FF16624,3.40.120.10,FF16624
3.30.565.10.FF68958,3.30.565.10,FF68958
4.10.270.10.FF6680,4.10.270.10,FF6680
1.10.1450.10.FF460,1.10.1450.10,FF460
2.160.20.20.FF716,2.160.20.20,FF716
1.25.40.60.FF86,1.25.40.60,FF86
2.40.50.140.FF51955,2.40.50.140,FF51955
4.10.270.10.FF2870,4.10.270.10,FF2870
3.30.565.10.FF80682,3.30.565.10,FF80682
2.40.50.250.FF875,2.40.50.250,FF875
1.10.532.10.FF110,1.10.532.10,FF110
3.40.50.410.FF11135,3.40.50.410,FF11135
3.40.47.10.FF26924,3.40.47.10,FF26924
2.60.11.10.FF176,2.60.11.10,FF176
3.40.50.620.FF87802,3.40.50.620,FF87802
2.120.10.30.FF15195,2.120.10.30,FF15195
3.30.160.20.FF9004,3.30.160.20,FF9004
3.50.50.60.FF77624,3.50.50.60,FF77624
2.60.120.370.FF254,2.60.120.370,FF254
2.40.50.140.FF7001,2.40.50.140,FF7001
3.90.25.10.FF20665,3.90.25.10,FF20665
3.30.420.10.FF45782,3.30.420.10,FF45782
4.10.400.10.FF12354,4.10.400.10,FF12354
3.40.430.10.FF6588,3.40.430.10,FF6588
3.60.15.10.FF10575,3.60.15.10,FF10575
2.60.40.10.FF117835,2.60.40.10,FF117835
1.20.1170.10.FF5292,1.20.1170.10,FF5292
3.40.50.300.FF607436,3.40.50.300,FF607436
3.30.310.10.FF592,3.30.310.10,FF592
2.150.10.10.FF18173,2.150.10.10,FF18173
3.40.640.10.FF11534,3.40.640.10,FF11534
2.60.40.10.FF48341,2.60.40.10,FF48341
3.30.300.20.FF15389,3.30.300.20,FF15389
3.30.420.40.FF31914,3.30.420.40,FF31914
3.30.50.10.FF3213,3.30.50.10,FF3213
3.30.420.40.FF74392,3.30.420.40,FF74392
3.30.70.150.FF820,3.30.70.150,FF820
1.20.58.150.FF314,1.20.58.150,FF314
2.30.30.40.FF15805,2.30.30.40,FF15805
2.140.10.30.FF311,2.140.10.30,FF311
3.40.50.300.FF633875,3.40.50.300,FF633875
2.40.50.100.FF26155,2.40.50.100,FF26155
3.40.50.150.FF61500,3.40.50.150,FF61500
2.10.220.10.FF6766,2.10.220.10,FF6766
3.40.50.10190.FF1782,3.40.50.10190,FF1782
2.40.30.10.FF30545,2.40.30.10,FF30545
2.60.350.10.FF8379,2.60.350.10,FF8379
1.20.120.230.FF1364,1.20.120.230,FF1364
1.10.10.10.FF131560,1.10.10.10,FF131560
3.40.50.2300.FF100677,3.40.50.2300,FF100677
2.60.40.1460.FF123,2.60.40.1460,FF123
1.10.287.70.FF4529,1.10.287.70,FF4529
2.30.30.360.FF226,2.30.30.360,FF226
1.10.150.50.FF537,1.10.150.50,FF537
3.30.60.30.FF842,3.30.60.30,FF842
3.40.50.360.FF16323,3.40.50.360,FF16323
2.10.70.10.FF16588,2.10.70.10,FF16588
1.10.238.10.FF31919,1.10.238.10,FF31919
2.60.40.10.FF34343,2.60.40.10,FF34343
3.40.1160.10.FF9377,3.40.1160.10,FF9377
3.90.1750.10.FF266,3.90.1750.10,FF266
3.40.50.300.FF394591,3.40.50.300,FF394591
3.40.190.80.FF5740,3.40.190.80,FF5740
2.30.38.10.FF1393,2.30.38.10,FF1393
2.160.10.10.FF45087,2.160.10.10,FF45087
3.30.200.20.FF67050,3.30.200.20,FF67050
1.20.1250.20.FF149627,1.20.1250.20,FF149627
3.30.70.1230.FF1332,3.30.70.1230,FF1332
3.30.9.10.FF8732,3.30.9.10,FF8732
3.40.50.300.FF316566,3.40.50.300,FF316566
3.40.50.720.FF291978,3.40.50.720,FF291978
3.40.30.10.FF28654,3.40.30.10,FF28654
3.30.450.20.FF77895,3.30.450.20,FF77895
3.40.50.300.FF605541,3.40.50.300,FF605541
4.10.280.10.FF2887,4.10.280.10,FF2887
3.30.479.20.FF4391,3.30.479.20,FF4391
3.40.50.720.FF265240,3.40.50.720,FF265240
1.20.910.10.FF424,1.20.910.10,FF424
3.40.50.980.FF43310,3.40.50.980,FF43310
2.30.30.40.FF1199,2.30.30.40,FF1199
3.30.890.10.FF155,3.30.890.10,FF155
3.30.565.10.FF54427,3.30.565.10,FF54427
3.40.228.10.FF5812,3.40.228.10,FF5812
2.10.70.10.FF17050,2.10.70.10,FF17050
3.40.1350.10.FF310,3.40.1350.10,FF310
3.90.70.10.FF13409,3.90.70.10,FF13409
1.20.5.470.FF488,1.20.5.470,FF488
2.60.120.10.FF48408,2.60.120.10,FF48408
4.10.860.10.FF4504,4.10.860.10,FF4504
1.10.238.20.FF1147,1.10.238.20,FF1147
3.40.50.300.FF243408,3.40.50.300,FF243408
2.10.50.10.FF6102,2.10.50.10,FF6102
2.60.40.10.FF48579,2.60.40.10,FF48579
1.10.101.10.FF3831,1.10.101.10,FF3831
1.10.510.10.FF77773,1.10.510.10,FF77773
2.60.120.200.FF17524,2.60.120.200,FF17524
2.40.50.140.FF54146,2.40.50.140,FF54146
3.40.525.10.FF2032,3.40.525.10,FF2032
1.20.1280.50.FF7222,1.20.1280.50,FF7222
3.40.30.10.FF40116,3.40.30.10,FF40116
2.60.40.10.FF74870,2.60.40.10,FF74870
2.30.29.30.FF5348,2.30.29.30,FF5348
2.10.25.10.FF46137,2.10.25.10,FF46137
1.10.10.10.FF78053,1.10.10.10,FF78053
3.40.50.10800.FF1158,3.40.50.10800,FF1158
4.10.1110.10.FF460,4.10.1110.10,FF460
1.20.920.10.FF1241,1.20.920.10,FF1241
3.30.465.10.FF17147,3.30.465.10,FF17147
3.40.50.720.FF4798,3.40.50.720,FF4798
4.10.280.10.FF5140,4.10.280.10,FF5140
2.60.40.10.FF27881,2.60.40.10,FF27881
3.40.440.10.FF3479,3.40.440.10,FF3479
1.10.510.10.FF79390,1.10.510.10,FF79390
3.40.50.1820.FF36914,3.40.50.1820,FF36914
2.60.350.10.FF1031,2.60.350.10,FF1031
3.30.200.20.FF66169,3.30.200.20,FF66169
1.10.287.810.FF861,1.10.287.810,FF861
3.30.830.10.FF1533,3.30.830.10,FF1533
2.160.10.10.FF78630,2.160.10.10,FF78630
3.40.1090.10.FF6569,3.40.1090.10,FF6569
1.10.10.10.FF5504,1.10.10.10,FF5504
4.10.260.10.FF268,4.10.260.10,FF268
1.10.10.10.FF266644,1.10.10.10,FF266644
3.40.630.30.FF12777,3.40.630.30,FF12777
2.130.10.30.FF6143,2.130.10.30,FF6143
3.40.20.10.FF2774,3.40.20.10,FF2774
1.10.400.10.FF1096,1.10.400.10,FF1096
2.40.50.140.FF3957,2.40.50.140,FF3957
2.30.29.30.FF18084,2.30.29.30,FF18084
1.50.10.10.FF9519,1.50.10.10,FF9519
2.40.110.10.FF3337,2.40.110.10,FF3337
3.30.450.20.FF85430,3.30.450.20,FF85430
3.90.55.10.FF531,3.90.55.10,FF531
2.10.25.10.FF45205,2.10.25.10,FF45205
4.10.240.10.FF2927,4.10.240.10,FF2927
3.90.1150.10.FF57673,3.90.1150.10,FF57673
3.40.50.2300.FF64375,3.40.50.2300,FF64375
1.10.287.810.FF366,1.10.287.810,FF366
3.20.20.140.FF9730,3.20.20.140,FF9730
2.60.40.10.FF31553,2.60.40.10,FF31553
2.10.25.10.FF19352,2.10.25.10,FF19352
2.40.10.10.FF8763,2.40.10.10,FF8763
3.40.50.1010.FF15428,3.40.50.1010,FF15428
1.25.10.10.FF54012,1.25.10.10,FF54012
1.10.418.10.FF1624,1.10.418.10,FF1624
2.10.70.10.FF5861,2.10.70.10,FF5861
2.60.40.10.FF98595,2.60.40.10,FF98595
2.40.10.10.FF37085,2.40.10.10,FF37085
1.20.58.390.FF2683,1.20.58.390,FF2683
2.130.10.130.FF8364,2.130.10.130,FF8364
3.40.50.300.FF281917,3.40.50.300,FF281917
3.40.20.10.FF1449,3.40.20.10,FF1449
1.20.1060.10.FF1485,1.20.1060.10,FF1485
1.20.1250.20.FF180107,1.20.1250.20,FF180107
3.90.470.20.FF246,3.90.470.20,FF246
3.60.10.10.FF99,3.60.10.10,FF99
1.25.40.10.FF83308,1.25.40.10,FF83308
1.20.1170.10.FF26285,1.20.1170.10,FF26285
3.90.1530.10.FF4961,3.90.1530.10,FF4961
3.50.4.10.FF1014,3.50.4.10,FF1014
2.10.220.10.FF5572,2.10.220.10,FF5572
1.20.1640.10.FF20220,1.20.1640.10,FF20220
1.10.472.10.FF6219,1.10.472.10,FF6219
2.60.40.10.FF9720,2.60.40.10,FF9720
2.40.155.10.FF20255,2.40.155.10,FF20255
1.10.8.210.FF540,1.10.8.210,FF540
1.25.10.10.FF68785,1.25.10.10,FF68785
3.50.50.60.FF112438,3.50.50.60,FF112438
3.30.40.10.FF61037,3.30.40.10,FF61037
1.10.8.60.FF11471,1.10.8.60,FF11471
2.60.40.60.FF646,2.60.40.60,FF646
3.80.10.10.FF50495,3.80.10.10,FF50495
3.40.50.300.FF622317,3.40.50.300,FF622317
3.10.28.10.FF21601,3.10.28.10,FF21601
2.60.120.290.FF258,2.60.120.290,FF258
3.90.1410.10.FF338,3.90.1410.10,FF338
3.10.129.10.FF14155,3.10.129.10,FF14155
3.40.250.10.FF736,3.40.250.10,FF736
3.80.10.10.FF8344,3.80.10.10,FF8344
3.30.70.990.FF173,3.30.70.990,FF173
2.60.40.60.FF278,2.60.40.60,FF278
3.30.230.10.FF23900,3.30.230.10,FF23900
3.40.190.10.FF203671,3.40.190.10,FF203671
3.90.1150.10.FF49932,3.90.1150.10,FF49932
3.40.50.720.FF285281,3.40.50.720,FF285281
3.80.10.10.FF55877,3.80.10.10,FF55877
1.10.357.10.FF15153,1.10.357.10,FF15153
1.20.1560.10.FF20703,1.20.1560.10,FF20703
4.10.410.10.FF270,4.10.410.10,FF270
2.40.50.100.FF4409,2.40.50.100,FF4409
1.10.287.110.FF14798,1.10.287.110,FF14798
2.130.10.10.FF28648,2.130.10.10,FF28648
3.40.47.10.FF52502,3.40.47.10,FF52502
2.30.180.10.FF3634,2.30.180.10,FF3634
1.20.120.330.FF933,1.20.120.330,FF933
2.10.70.10.FF13396,2.10.70.10,FF13396
2.160.10.10.FF29455,2.160.10.10,FF29455
1.20.1300.10.FF360,1.20.1300.10,FF360
3.30.43.10.FF125,3.30.43.10,FF125
3.30.420.10.FF39661,3.30.420.10,FF39661
3.30.70.1170.FF2029,3.30.70.1170,FF2029
1.10.472.10.FF1280,1.10.472.10,FF1280
3.80.10.10.FF94599,3.80.10.10,FF94599
1.25.40.10.FF70848,1.25.40.10,FF70848
1.20.120.30.FF429,1.20.120.30,FF429
3.30.70.20.FF40102,3.30.70.20,FF40102
3.30.160.60.FF1474,3.30.160.60,FF1474
2.40.50.140.FF21853,2.40.50.140,FF21853
2.60.40.10.FF64222,2.60.40.10,FF64222
2.30.30.40.FF8874,2.30.30.40,FF8874
2.60.40.10.FF78086,2.60.40.10,FF78086
1.20.120.20.FF4828,1.20.120.20,FF4828
3.60.20.30.FF695,3.60.20.30,FF695
1.10.10.10.FF19095,1.10.10.10,FF19095
1.25.10.10.FF54419,1.25.10.10,FF54419
3.30.1370.50.FF1289,3.30.1370.50,FF1289
1.10.1660.10.FF7404,1.10.1660.10,FF7404
1.10.510.10.FF48164,1.10.510.10,FF48164
1.25.40.10.FF40919,1.25.40.10,FF40919
1.10.8.60.FF8606,1.10.8.60,FF8606
2.170.300.10.FF2432,2.170.300.10,FF2432
2.30.29.30.FF1133,2.30.29.30,FF1133
1.20.5.170.FF12986,1.20.5.170,FF12986
3.30.460.10.FF94,3.30.460.10,FF94
3.30.160.60.FF7613,3.30.160.60,FF7613
2.130.10.30.FF4320,2.130.10.30,FF4320
3.20.20.140.FF39323,3.20.20.140,FF39323
